smiles,vd
OC(Cn1ccnc1)(P(=O)(O)O)P(=O)(O)O,-0.2218487496163564
CCCC(=O)OCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C,-0.23657200643706275
CCC(=O)N(C1CCN(CCc2ccccc2)CC1)c3ccccc3,-0.050609993355087216
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)B(O)O,1.0
CC(=O)Nc1ccc(O)cc1,0.0
COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3ccccc3,0.07918124604762483
CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,0.9190780923760741
CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2,0.5185139398778874
NC1=NC(=O)N(C=N1)[C@H]2C[C@H](O)[C@@H](CO)O2,0.6627578316815741
Clc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,-0.3467874862246563
Cc1ccc(cc1NC(=O)c2cccc(NC(=O)Nc3cccc(c3)C(=O)Nc4cc(ccc4C)C(=O)Nc5ccc(c6cc(cc(c56)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)c2)C(=O)Nc7ccc(c8cc(cc(c78)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,-0.26760624017703144
CC(C)NCC(O)COc1cccc2ccccc12,0.4913616938342727
CN(C)CC\C=C\1/c2ccccc2COc3ccccc13,1.0791812460476249
COc1ccc(cc1)C(CN(C)C)C2(O)CCCCC2,0.6434526764861874
Nc1nc(N)c2nc(c(N)nc2n1)c3ccccc3,1.1139433523068367
N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3c[nH]nn3)c4ccc(O)cc4,-0.6575773191777937
CCN(CC)CCNC(=O)c1ccc(N)cc1,0.3424226808222063
CCN1CC(CCN2CCOCC2)C(C1=O)(c3ccccc3)c4ccccc4,0.07918124604762483
CN\C(=C/[N+](=O)[O-])\NCCSCc1oc(CN(C)C)cc1,0.07918124604762483
CC(NCCc1ccc(O)cc1)C(O)c2ccc(O)cc2,0.6434526764861874
CCCNC(C)C(=O)Nc1ccccc1C,0.568201724066995
NCCCCCC(=O)O,-0.4089353929735008
